megye;year;Yield (mean, kg/hectare);Yield (Overall volume, ton);Harvested Area (hectare)
Budapest;2000;2840;30337;10700
Pest;2000;3170;185679;58646
Fejer;2000;4460;338829;76029
Komarom-Esztergom;2000;3990;107519;26938
Veszprem;2000;3410;111485;32681
Gyor-Moson-Sopron;2000;3750;219847;58544
Vas;2000;3380;127403;37639
Zala;2000;3840;82169;21419
Baranya;2000;4520;218410;48353
Somogy;2000;4100;176714;43076
Tolna;2000;4470;208290;46619
Borsod-Abauj-Zemplen;2000;3120;194440;62273
Heves;2000;2710;123839;45770
Nograd;2000;2540;44535;17502
Hajdu-Bihar;2000;3820;250565;65593
Jasz-Nagykun-Szolnok;2000;2910;271054;93065
Szabolcs-Szatmar-Bereg;2000;3300;112389;34097
Bacs-Kiskun;2000;3580;295924;82436
Bekes;2000;3710;376720;101397
Csongrad;2000;3510;216322;61657
Budapest;2001;3860;42808;11080
Pest;2001;3800;239838;63083
Fejer;2001;4900;400843;81846
Komarom-Esztergom;2001;4250;145370;34239
Veszprem;2001;3460;121110;34996
Gyor-Moson-Sopron;2001;3810;240017;62960
Vas;2001;3930;149340;38035
Zala;2001;4170;92413;22154
Baranya;2001;5200;300298;57784
Somogy;2001;4820;224866;46687
Tolna;2001;5030;256367;51016
Borsod-Abauj-Zemplen;2001;4110;326159;79297
Heves;2001;4010;236095;58865
Nograd;2001;3780;83892;22166
Hajdu-Bihar;2001;4720;382074;80540
Jasz-Nagykun-Szolnok;2001;4040;534903;132380
Szabolcs-Szatmar-Bereg;2001;4360;172132;39487
Bacs-Kiskun;2001;4190;422980;100919
Bekes;2001;4480;526940;117703
Csongrad;2001;4240;298314;70370
Budapest;2002;2990;31467;10512
Pest;2002;2730;151622;55578
Fejer;2002;4280;335189;78243
Komarom-Esztergom;2002;4230;131929;31178
Veszprem;2002;3120;113365;36288
Gyor-Moson-Sopron;2002;3750;237399;63303
Vas;2002;3490;129364;37094
Zala;2002;4190;91396;21788
Baranya;2002;5150;269611;52333
Somogy;2002;4360;184759;42403
Tolna;2002;4970;258754;52073
Borsod-Abauj-Zemplen;2002;2770;200846;72479
Heves;2002;2240;107923;48086
Nograd;2002;2440;43673;17912
Hajdu-Bihar;2002;3670;267493;72754
Jasz-Nagykun-Szolnok;2002;2410;280625;116100
Szabolcs-Szatmar-Bereg;2002;3380;114032;33695
Bacs-Kiskun;2002;3950;357405;88782
Bekes;2002;3390;375284;110718
Csongrad;2002;3300;228108;69152
Budapest;2003;1600;16416;10257
Pest;2003;1800;95408;53037
Fejer;2003;2640;206572;78098
Komarom-Esztergom;2003;2710;82339;30412
Veszprem;2003;2270;77945;34299
Gyor-Moson-Sopron;2003;3100;202846;65481
Vas;2003;2840;107792;37995
Zala;2003;2970;62988;21226
Baranya;2003;3620;202927;56038
Somogy;2003;3220;152508;47390
Tolna;2003;3620;207535;57367
Borsod-Abauj-Zemplen;2003;2670;171281;64145
Heves;2003;1600;74425;46376
Nograd;2003;1650;26956;16329
Hajdu-Bihar;2003;3050;239609;78262
Jasz-Nagykun-Szolnok;2003;1890;212707;112692
Szabolcs-Szatmar-Bereg;2003;2550;71625;28087
Bacs-Kiskun;2003;2240;192088;85858
Bekes;2003;2970;357432;120426
Csongrad;2003;2570;179849;69980
Budapest;2004;4820;40118;8331
Pest;2004;4510;282342;62559
Fejer;2004;5100;411560;80747
Komarom-Esztergom;2004;4960;144283;29118
Veszprem;2004;4150;147265;35492
Gyor-Moson-Sopron;2004;5010;343391;68534
Vas;2004;4390;165767;37762
Zala;2004;4670;101916;21835
Baranya;2004;5390;302550;56160
Somogy;2004;4820;239787;49746
Tolna;2004;5360;327423;61048
Borsod-Abauj-Zemplen;2004;4850;337372;69517
Heves;2004;4760;228801;48050
Nograd;2004;4490;79472;17700
Hajdu-Bihar;2004;5490;448555;81627
Jasz-Nagykun-Szolnok;2004;5170;635398;122831
Szabolcs-Szatmar-Bereg;2004;4530;163176;35991
Bacs-Kiskun;2004;4950;433557;87502
Bekes;2004;6190;784810;126730
Csongrad;2004;5370;389282;72519
Budapest;2005;4050;35076;8663
Pest;2005;4450;285091;64136
Fejer;2005;5110;390147;76342
Komarom-Esztergom;2005;4740;139034;29331
